producto,unidad,precio_promedio_por_unidad,precio_promedio_por_100,energ_kcal,carbohydrt,lipid_tot,protein,fiber_td,calcium,iron,ironhem,ironnohem,zinc,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folic_acid,food_folate,vit_b12,vit_a_rae,vit_e,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,chole
AMARANTO,GR,0.1132,11.32,376,61.23,7.2,16.45,7.5,292,7.9,0,7.9,4.76,0,0,0.32,1.1,1.46,0.3,51.23,22,0,0,0.19,0,0,3.3,2.86,5.74,0
APIO,GR,0.0274,2.7443,69.02,13.69625,1.2962500000000001,0.7375,0.595,19.41,0.26875,0,0.26875,0.11375,10.80375,0.02,0.04875,0.34875,0.2642857142857143,0.060000000000000005,1.7725,8.21875,0.01875,25.3175,0.4585714285714286,1.1385714285714286,10.412857142857144,0.565875,0.32537499999999997,0.29612499999999997,3.1355
ARROZ,GR,0.0286,2.859,215.74666666666667,43.441388888888895,2.5533333333333332,4.4383333333333335,1.6012121212121213,77.10617647058821,3.0324242424242422,0.15870967741935485,2.993225806451613,1.4288235294117646,8.332941176470587,0.21588235294117647,0.2670588235294118,2.9741176470588235,0.5113793103448276,0.24088235294117646,39.65138888888889,8.549032258064516,0.1952941176470588,96.11235294117648,0.8758064516129033,43.8069697,1.615862068965517,0.6465806451612903,0.8510645161290322,0.9785806451612902,3.452727272727273
ATÚN,GR,0.1547,15.4699,185.51,0.14,9.68,24,0.03,163,2.04,0.81,1.22,1.09,0.25,0.05,0.16,8.78,0.49,0.19,0,10.75,5.78,26.5,1.15,160.6,11.8,2.035,3.389,4.094,58.362
AVENA,GR,0.1144,11.4358,278.7477272727273,49.846818181818165,6.365909090909093,6.027272727272727,4.225,154.035,5.9750000000000005,0,6.751176470588235,2.356363636363636,12.955909090909092,0.3181818181818182,0.3076190476190477,3.352272727272727,0.7952631578947368,0.2595454545454545,84.12809523809524,15.719444444444443,0.2013636363636363,120.61954545454546,1.135625,64.9145,2.783333333333333,1.9672631578947368,2.408157894736842,1.345263157894737,4.626619047619047
AZÚCAR,GR,0.0377,3.7695,88.08444444444444,27.715555555555557,0.4255555555555556,1.6222222222222222,0.3244444444444444,44.68,0.2714285714285714,0,0.38,0.30142857142857143,16.785714285714285,0.047142857142857146,0.077142857,0.18142857142857147,0.25142857142857145,0.068571429,0,11.661428571428571,0.15142857142857144,157.82714285714286,0.2914285714285714,10,2.1714285714285713,0.05275,0.077875,0.180875,0.75
BAGRE,GR,0.0817,8.1711,103,0,1.93,15.91,0,32,0.4,0.16,0.24,0.8,0,0.04,0.03,1.7,0.76,0.12,0,10,2.23,15,,500,,0.001,0.001,1.12,20.17
BARRAS DE AVENA,GR,0.2601,26.0097,389,75.47,6.67,6.67,4.6,333,6,,,1.42,0.9,0.5,0.57,6.67,0.63,0.67,54,20,0.08,236,2.25,4,6.9,1.299,1.531,2.559,36
BARRAS DE CEREAL,GR,0.3234,32.3356,396.12,61.894999999999996,13.685,6.8149999999999995,8.225,117.655,5.109999999999999,0,5.109999999999999,3.15,13.95,0.29000000000000004,0.345,4.345000000000001,0.235,0.455,78.24000000000001,14.5,0.145,381,3.29,16,8.25,6.6455,5.683999999999999,1.3559999999999999,14.225000000000001
BASA,GR,0.0995,9.9467,120.91999999999999,0.15,3.835,20.695,0,195.57,0.8049999999999999,0.325,0.48,0.74,0.135,0.125,0.13,3.475,0.785,0.28500000000000003,1.325,8.835,3.5199999999999996,63.38,0.735,449.99,0.505,0.8400000000000001,1.0635,0.9025,43.283
BEBIDAS HIDRATANTES,ML,0.0349,3.4928,22.5,5.62,0,0,0,1.25,0.05,0,0.05,0.01,0.4,0.01,0,0.22,0.05,0.02,608,0,0,0,0,0,0.2,0,0,0,0
BETABEL,GR,0.0296,2.9603,36,8.4175,0.1125,1.215,1.46,11.79,0.795,0,0.7966666666666667,0.26,4.4175,0.03,0.035,0.21000000000000002,0.1175,0.07,0,54.7025,0,1.745,0.0425,0,0.1775,0.020999999999999998,0.02425,0.042749999999999996,0
BLANCO DEL NILO,GR,0.2645,26.4535,96,0,1.7,20.08,0,10,0.56,,,0.33,0,0.04,0.06,3.9,0.49,0.16,0,24,1.58,0,0.4,124,1.4,0.585,0.498,0.363,50
BRÓCOLI,GR,0.0497,4.9697,39.56,5.895999999999999,1.222,2.292,2.064,40.315999999999995,0.574,0,0.5525,0.39,52.474000000000004,0.05,0.10399999999999998,0.6940000000000001,0.5025000000000001,0.13200000000000003,2.932,60.428,0.09,39.176,0.7040000000000001,1.61,79.312,0.7444,0.42800000000000005,0.1728,2.6246
CACAHUATES,GR,0.2129,21.2859,490.4666666666667,50.48,27.44666666666667,10.66,4.233333333333333,67.37666666666667,2.28,0,2.7,2.48,0.7000000000000001,0.19999999999999998,0.2966666666666667,4.29,0.925,0.26,11,54.333333333333336,0.083333333,61.333333333333336,6.31,0,5.366666666666667,8.665666666666667,17.019333333333332,6.869666666666667,3.84
CAFÉ SOLUBLE,GR,0.8356,83.5649,2,0.34,0,0.1,0,4,0.04,0,0.04,0.01,0,0,0,0.24,0,0,0,0,0,0,0,,0,0,0,0,0
CAFÉ TOSTADO Y MOLIDO,GR,0.3172,31.7181,286.22,61.14,0.41,9.89,0,116.22,3.58,0,3.58,0.28,0,0.01,0.06,22.84,0.08,0.02,0,0,0,0,0,0,1.54,0.162,0.032,0.162,0
CAJETA,GR,0.1942,19.4204,441.44000000000005,64.01333333333334,18.76,5.646666666666666,0.31,172.59,0.25,0,0.5,0.41,0.01,0.03,0.06,0.25,0.12,0.02,6.625,2.78,0.06,28.93,5.72,6.715,16.95,4.114,5.937,6.995,13.572333333333333
CALABAZA,GR,0.0306,3.0646,89.0175,7.519166666666667,5.585,3.8866666666666667,1.5527272727272725,31.089166666666667,1.6083333333333332,0,1.68,0.9499999999999998,10.766666666666666,0.061666666666666675,0.0675,0.9258333333333333,0.22999999999999998,0.096,0.034545454545454546,26.83363636363636,0.013333333333333334,96.36083333333333,0.6644444444444444,0.9309090909090909,3.0900000000000003,1.318,1.9435454545454542,2.344363636363636,1.9160000000000001
CALAMAR,GR,0.2057,20.5725,82,1.5,1.1,16.4,0,12,0.5,0.2,0.3,4,0,0.02,0.12,2.17,0.5,0.06,0,5,1.3,10,1.2,0,0,0,0,0,233
CAMARÓN,GR,0.2978,29.7811,90,1.5,1.5,18.1,0,63,1.6,0.64,0.96,1.5,0,0.02,0.03,3.2,0.31,0.16,0,19,1.11,12,1.32,2,0.3,0,0,0.438,128
CANELA,GR,0.8765,87.6522,209,53.163333333333334,1.9133333333333333,3.296666666666667,28.645,667.5,11.66,0,11.66,7.165,11.9,0.655,0.715,9.015,0.36,0.9099999999999999,113.495,12.5,2.5,256.5,1.5,66,17.15,1.0225,1.518,0.979,0
CARNE CERDO,GR,0.1113,11.1349,211,0,10.5,27.69,0,8,0.51,0.2,0.31,1.92,0,0.56,0.25,8.2,,0.56,0,0,0.64,1,0.2,20,0,3.27,5.07,1.58,84
CARNE PAVO,GR,0.1251,12.5064,154,0,8,20.4,0,15,1.4,0.56,0.84,2.2,0,0.06,0.16,4.1,0.81,0.41,8,7,0.4,2,0.09,12,0,2.26,2.34,1.98,73
CARNE POLLO,GR,0.084,8.3955,158.25,0.185,9.27,17.945,0,10.25,3.3200000000000003,1.3299999999999998,1.99,2,5.4,0.115,0.56,6.75,2.17,0.415,3,151.25,4.605,849.25,0.405,5,0.75,2.678,3.0255,1.8555,183.75
CARNE RES,GR,0.1857,18.5693,235,0,13.44,27.06,0,17,2.26,0.9,1.36,5.21,0,0.08,0.22,7.13,,0.62,0,7,1.94,3,0.33,8,1.5,5.58,6,0.59,87
CARNE TERNERA,GR,0.2659,26.5937,151,0,8,19.7,0,11,3,1.2,1.8,3.06,0,0.13,0.24,6.1,1.31,0.23,0,13,1,0,0.26,,,3.4,5.6,0.25,90
CARPA,GR,0.0616,6.1572,122,0,1.02,19.6,0,50,0.9,0.36,0.54,5,0,0.01,0.04,1.5,0.75,0.19,13,15,1,51,0.63,988.24,0.1,0.432,0.419,0.261,77.65
CAZÓN,GR,0.1534,15.3362,106,0,0.17,21.15,0,17.94,0.84,0.34,0.5,0.5,0,0.05,0.04,2.4,0.69,0.4,0,3,1.49,70,1,24,0.1,0.1,0.054,0.045,52
